Quantity,Designator,Part Number,Manufacturer,Description,Fitted

"96","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96","XHY-STB0603SR","Shenzen Corehy Technology","LED SMD 0603 RED 625nm, water clear, 42 to 88 mcd, 120 degrees, 1.6x0.8x0.6mm",""
"3","C2, C5, C9","GRM188R61C475KAAJD","Murata","CAP CHIP 0603 4.7uF 10% 16V X5R",""
"9","C3, C7, C8, C11, C12, C25, C26, C29, C30","GRM155R61H104KE19D","Murata","CAP CHIP 0402 100nF 10% 50V X5R",""
"3","C6, C20, C24","CL05A105KP5NNNC","Samsung Electro-Mechanics","CAP CHIP 0402 1uF 10% 10V X5R",""
"8","C10, C13, C15, C16, C17, C18, C19, C28","CL21A226MAQNNNE","Samsung Electro-Mechanics","CAP CHIP 0805 22uF 20% 25V X5R",""
"1","C14","GRM1555C1H330JA01D","Murata","CAP CHIP 0402 33pF 5% 50V C0G",""
"1","C21","FV21X472K102ECG","PSA Shenzen","CAP CHIP 0805 4.7nF 10% 1000V X7R",""
"2","D1, D2","PMEG6020AELRX","Nexperia","DIODE SCHOTTKY SMD 2A 60V SOD123FL",""
"1","D3","PRTR5V0U2X,215","Nexperia","TVS ARRAY 4LIN.8kV 1pF SOT143B",""
"3","DL1, DL2, DL4","KPT-1608YC","Kingbright","LED SMD 0603 GIA588   8mcd 120^",""
"1","DL3","HSMG-C190","Broadcom","LED SMD 0603 GREEN/568 15mcd 120^",""
"1","F1","MF-MSMF050-2-W2","Bourns","PTC RESET FUSE 15V 500MA 1812 LOGO OO ARDUINO",""
"1","J1","CX90B-16P","Hirose","CONN RCPT USB3.1 TYPEC 16POS SMD",""
"1","J2","SM04B-SRSS-TB(LF)(SN)","JST","CONN JST 4POS SIDE 1MM TIN QWIIC",""
"2","J3, J6","PH2-06-UA","Adam Tech","CONN Header Through Hole 6 position 0.100"" (2.54mm)",""
"1","J5","19TW-746","4UCON","CONN PWR JACK 2.1X5.5MM SOLDER",""
"1","JANALOG","20TW-995","4UCONN","CONN STRIP F/1/D 14v SER.NERA s1pin",""
"1","JDIGITAL","20TW-994","4UCONN","CONN STRIP F/1/D 18v SER.NERA s1pin",""
"1","JOFF","21TW-204","4UCONN","CONN HEADER VERT 3POS 2.54MM",""
"2","L1, L2","BLM18PG471SN1D","Murata","FERRITE SMD 0603 470R 1A 0.2R",""
"1","L3","PMF42-103MN","K-WELL","IND 10uH 20%, max 235mR, IDC 2.3A, Isat 2.3A, shielded, max 5MHz, 4.5x4.5x1.8mm",""
"1","M1","ESP32-S3-MINI-1-N8","Espressif","MODULE ESP32-S3 dual core 32b Xtensa LX7, WiFi 2.4GHz, BLE 5 LE, internal 8MB QSPI flash, no internal PSRAM, PCB antenna, max 85°C, 15.4x20.5x2.4mm",""
"1","PB1","1571636-3","TE Connectivity","PUSHBUTTON SMD 6x6 5 PINS",""
"3","Q1, Q2, Q3","2N7002KT1G","On Semiconductor","MOSFET N-CH 60V 300mA ESD prot. SOT23",""
"11","R1, R3, R26, R35, R38, R43, R44, R49, R52, R57, R58","CRCW0402100KFKEDC","Vishay","RES CHIP 0402 100k 1% 1/16W",""
"16","R2, R14, R16, R20, R22, R23, R24, R25, R27, R28, R29, R30, R31, R32, R33, R34","CRCW0402330RJNED","Vishay","RES CHIP 0402 330R 5% 1/16W",""
"11","R6, R7, R9, R10, R11, R12, R13, R15, R19, R50, R51","RC0402FR-075K1L","YAGEO","RES CHIP 0402 5k1 1% 1/16W",""
"8","R17, R18, R36, R42, R45, R46, R47, R48","CRCW04020000Z0EDC","Vishay","RES CHIP 0402 0R 1/16W",""
"1","R39","CRCW04021M00FKED","Vishay","RES CHIP 0402 1M 1% 1/16W",""
"1","R40","RC0402FR-0713K7L","YAGEO","RES CHIP 0402 13k7 1% 1/16W",""
"1","R59","WF04H1003BT","Walsin","RES CHIP 0402 100k 0.1% 100ppm 1/16W",""
"1","R60","WF04H1372BTL","Walsin","RES CHIP 0402 13k7 0.1% 100PPM 1/16W",""
"1","U1","R7FA4M1AB3CFM#AA0","Renesas","IC uC RA4M1 32b M4 48MHz 254KB flash 32KB RAM 105°C LQFP64 10x10mm",""
"2","U2, U6","NLASB3157DFT2G","ON Semiconductor","IC SPDT,max 25R at VCC 4.5V tPD 1.2ns VCC 1.65V to 5V Iq max 10uA SOT363",""
"1","U3","ISL854102FRZ-T","Renesas","IC BUCK Vin 40V Iout 1.2A 2MHz 12DFN 3x4mm",""
"1","U4","TXB0108DQSR","Texas Instruments","IC TRANSLATOR LEVEL SHIFTER BIDIR 8BIT 20SON",""
"1","U5","SGM2205-3.3XKC3G/TR","SGMICRO","IC LINEAR REGULATOR Vout 3V3 fixed Vin max 20V Iout max 800mA Pd 1.32W",""
